case_id,case_number,investigation_started,decision_date,duration_months,case_name,parties_name,parties_count,report_route,decision_type,article_infringed,offense_nature,commissioner,commissioner_id,appeal,court_case_linked,,,,,,,
54,26813,12.03.1970,09.06.1972,28,RAYMOND-NAGOYA,SA Raymond; Nagoya Rubber Co. Ltd,2,Notification,Negative Clearance,81,Exclusive licensing,S.L. Mansholt (P),4,0,,,,,,,,
55,642,16.03.1971,26.07.1972,18,Papier Mince,Papeteries Bolloré SA; Job SA; Société des anciens établissements Braunstein Frères SA; Papeteries de Mauduit SA; SA des Papiers Abadie,5,Notification,Exemption,81,Quality agreements (horizontal),S.L. Mansholt (P),4,0,,,,,,,,
56,"8818, 8822",31.01.1963,28.09.1972,116,Rodenstock,Optische Werke G. Rodenstock; Emilio Ciliotta; NV Nehom ,3 on page 322 a list of 15 companies ??,Notification,Infringement,11,Did not supply information,S.L. Mansholt (P),4,0,,,,,,,,
57,24171,31.01.1963,28.09.1972,116,MISAL,"NV Nederlandsche Hasler Mij.; Gosselaar's Industrie en Handelsonderneming NV; Agentura Kabelapparatuur; Orenstein & Koppel NV; Motor Supplies Rotterdam; Ingenieursbureau W. Merkens; NV Spaan en Van Heyst; Ingenieursbureau J. & C. Vrins NV; Van der Spek Amsterdam NV; NV  Nehom; Jan Wevers; Van Rietschoten & Houwens; Snikkers'Handel Mij. NV; Akaha- Den Haag NV; NV Handelsonderneming Gronfa; MA Pon Motoren NV; NV Industriële Handelsonderneming Witra; Franco Nigris & Cie.; Emilio Ciliotta; Scoopmobile Italiana SpA; Pozzonini, Parmarini & Cie Spa; NPT Turin; Silverstar Ltd.; Spa Az. Oscar Linke OLSA; G. Jost Goffredo; Spa Alberto rocca; Srl Italauto Milan; Codagex; Établissement J. Baille; Paul Schmedding KG; Arnold Otto Meyer Im- und Export; Travalair GmbH & Co. KG; Costagusa - Rudolf Lehmann GmbH; Office d'étude et de transactions internationales Paris; SA Française pour l'Importation du Caoutchouc Safic Alcan et Cie; Ateliers Bariquant & Marre; Ophtal SA; Société d'équipement industriel électro-mécanique Paris; Sarl Centre de diffusion de produits européens Boulogne; L.& B. Baehn; Central Photo SA Paris; Société Tractor Paris; Établissements A. Olier; Firma Carl Georg Schröder",45,Commssion own initative,Infringement,11,Did not supply information,S.L. Mansholt (P),4,0,,,,,,,,
58,"496, 498, 511, 532, 26238, 26577",17.11.1967,20.10.1972,59,Chauffage Central (Central Heating B),Éts Defounes; Éts Chavée; Éts Verbeeck; SA Ateliers ACV; SA Acomal; Usines Antverpia; SA Cérac; SA Thomas Defawes; SA Heurtey; SA Idéal-Standard; SA Usines et fonderies Saint-Roch; SA Socother; NV Sogaz; SA Tubes de Nimy; SA Warneton Chappee; Éts Ritschie; NV Société Rateau; Sprl Soudron-Sacré; NV Veha; NV Eurocalor,20,Notification,Infringement,81,"Agreement, could ease vertical and horizontal restraints (more horizontal, vertical in sense of consumers only)",S.L. Mansholt (P),4,0,,,,,,,,
59,"26876, 26892, 26894",06.01.1971,23.11.1972,23,Pittsburgh Corning Europe-Formica Belgium-Hertel,Pittsburgh Corning Europe SA; SA Formica Belgium NV; NV Hertel en Co.,3,Notification,Infringement,"81, 11",Vertical price fixing plus export issues,S. L. Mansholt (P),4,0,,,,,,,,
60,26911,08.04.1971,14.12.1972,20,"ZOJA / CSC-ICI, Commercial Solvents",Commercial Solvents Corporation; Instituto Chemioterapico Italiano,2,Complaint,Infringement,82,Refusal to supply (horizontal),S. L. Mansholt (P),4,1,"6/73, 7/73",,,,,,,
61,581,01.01.1971,18.12.1972,24,Cementregeling voor Nederland (CRN),"ENCI NV; Cemij NV; Cementfabriek Rozenburg NV; La Cimenterie belge ""Cimbel"" SA; SA Cimenteries CBR Brussel; SA Ciments d'Obourg; SA Ciments de Thieu; SA Ciments Portland liégeois; SA Ciments de Visé; SA Compagnie des Ciments belges Gaurain-Ramecroix; SA Ciments Portland J. van den Heuvel; SA Sté ge'nérale des ciments Portland de l'Escaut; SA Carrières et cimenteries Lemay; Nederlandse Cement-Handelsmaatschappij NV Den Haag; Alsen'sche Portland-Cement-Fabriken KG; Anneliese Portland-Cement- und Wasserkalkwerke AG; Bonner Zementwerk AG; Breitenburger Portland-Cement-Fabrik; Burania Portlandzement- und Kalkwerk Betriebs-GmbH; Dyckerhoff Zementwerke AG; Elsa Zement- und Kalkwerke AG; Evers Portlandzement- und Kalkwerke Betriebs-GmbH; Felsenfest Westfälische Portland-Zement- und Kalkwerke GmbH, Germania Zementwerke AG; Westdeutsche Portland-Zement- und Kalkwerke Gebr. Gröne; Hannoverische Portland-Cementfabrik AG; Portland-Cementwerke Hellbach Feldmann & Co.; Portland-Zementwerke Heidelberg AG; Hemmoor Zement AG; Holsteinische Portland-Cement-Fabrik GmbH; Ilse Baustoffvertriebs-GmbH;  W. Kalthöner Portland-Zement- und Kalkwerke; Klöckner-Werke AG Hütte Bremen; Westfälische Portland-Zementwerke Kohle & Co.; C. Mersmann Zement- und Kalkwerke GmbH; Hermann Milke KG; Montanzement-Vertriebs-GmbH; Hoesch AG Hüttenwerke; Klöckner-Werke AG, Georgsmarienwerke; Friedr. Krupp Hüttenwerke AG; Hüttenwerke Oberhausen AG; Rheinstahl Hüttenwerke AG; August Thyssen-Hütte AG; Nordcement AG; Portland Zementwerke Nordstern Josef Spenner; Phoenix Zementwerke Krogbeumker KG; E. Schwenk Zement- und Steinwerke KG; Teutonia Mesburger Portland-Cementwerk; Tubag Trass-Zement- und Steinwerke KG; Portland-Zementwerke Westfalen Schonlau & Co. KG; Portlandzementwerk Wittekind Hugo Miebach Söhne  ",53,Complaint,Infringement,81,Quota agreement and price fixing (horizontal),S.L. Mansholt (P),4,0,,,,,,,,0
62,"243, 244, 245",13.01.1967,22.12.1972,72,CIMBEL,la Cimenterie belge - Cimbel SA; SA Cimenteries CBR Cementbedrijven NV; SA Ciments d'Obourg; SA Ciments de Thieu; SA Ciments Portland liégeois; SA Ciments de Visé; SA Compagnie des Ciments belges - CCB; SA Ciments Portland J. Van den Heuvel; SA Société générale des ciments Portland de l'Escaut; SA Carrières et Cimenteries Lemay,10,Notification,Infringement,81,Quota agreement and price fixing (horizontal),S.L. Mansholt (P),4,0,,,,,,,,
63,"89, 26349",14.06.1972,22.12.1972,7,GISA,GISA (Groothandelaren in Sanitaire Artikelen),1,Commssion own initative,Infringement,81,Quota agreement and price fixing (horizontal),S.L. Mansholt (P),4,0,,,,,,,,
